net,length_um
p_hh_pipe\[17\],19.4µm
_0336_,19.34µm
p_ll_pipe\[22\],19.2µm
_0341_,19.16µm
term_mid\[19\],19.13µm
term_mid\[41\],19.13µm
net335,19.06µm
p_hh\[29\],18.91µm
mid_sum\[28\],18.8µm
mid_sum\[8\],18.6µm
p_hh_pipe\[22\],18.6µm
p_ll_pipe\[10\],18.6µm
mid_sum\[2\],18.56µm
net358,18.56µm
_0133_,18.525µm
net229,18.5µm
_0296_,18.46µm
term_mid\[30\],18.45µm
_0382_,18.38µm
_0377_,18.3µm
_0436_,18.28µm
_0348_,18.22µm
mid_sum\[31\],18.16µm
_0218_,18.12µm
_0375_,18.11µm
_0354_,18.08µm
net333,18.06µm
_0134_,18.045µm
_0251_,18.04µm
net310,18.02µm
_0278_,18µm
net345,18µm
net316,17.98µm
net200,17.84µm
_0367_,17.8µm
_0345_,17.78µm
net304,17.77µm
net347,17.74µm
_0370_,17.64µm
_0358_,17.62µm
net241,17.6µm
net277,17.6µm
term_mid\[16\],17.57µm
p_hh_pipe\[0\],17.56µm
mid_sum\[13\],17.3µm
p_ll_pipe\[27\],17.24µm
p_ll_pipe\[2\],17.22µm
_0399_,17.2µm
net248,17.09µm
net355,17.06µm
net370,17.02µm
net296,16.98µm
_0261_,16.88µm
net195,16.88µm
_0156_,16.86µm
_0224_,16.84µm
p_ll_pipe\[0\],16.8µm
_0161_,16.78µm
_0297_,16.74µm
net197,16.66µm
net136,16.58µm
_0329_,16.52µm
_0170_,16.5µm
net280,16.45µm
_0374_,16.33µm
_0281_,16.28µm
_0398_,16.28µm
p_hh\[31\],16.19µm
p_ll_pipe\[5\],16.18µm
net354,16.18µm
_0227_,16.1µm
_0357_,16µm
term_mid\[45\],15.99µm
_0317_,15.98µm
_0070_,15.96µm
_0239_,15.94µm
_0351_,15.94µm
_0363_,15.92µm
term_mid\[34\],15.89µm
_0136_,15.855µm
p_hh_pipe\[25\],15.84µm
net329,15.84µm
net135,15.82µm
_0413_,15.8µm
net306,15.8µm
_0419_,15.76µm
net256,15.75µm
net247,15.73µm
term_high\[40\],15.73µm
net137,15.63µm
_0373_,15.46µm
_0151_,15.36µm
net203,15.28µm
net279,15.28µm
net344,15.26µm
p_hh\[30\],15.17µm
_0304_,15.16µm
_0259_,15.08µm
net274,15.08µm
net275,15.08µm
net349,15.06µm
net192,15.05µm
net193,15.05µm
net215,15.05µm
net220,15.05µm
net251,15.05µm
net258,15.05µm
net265,15.05µm
net268,15.05µm
p_ll_pipe\[11\],15µm
_0412_,14.98µm
_0269_,14.895µm
mid_sum\[3\],14.82µm
_0369_,14.78µm
net287,14.76µm
net264,14.71µm
_0414_,14.62µm
_0330_,14.6µm
mid_sum\[26\],14.6µm
