net,length_um
_0500_,28.74µm
_0923_,28.7µm
_0718_,28.6µm
_1309_,28.58µm
_0536_,28.54µm
_1553_,28.44µm
_0083_,28.42µm
_1353_,28.42µm
_2385_,28.42µm
_0954_,28.38µm
_1996_,28.37µm
_2021_,28.36µm
_1429_,28.32µm
in1[12],28.27µm
_1329_,28.24µm
_1566_,28.24µm
_2432_,28.22µm
_0220_,28.16µm
_1711_,28.15µm
_0948_,28.12µm
_2445_,28.1µm
_1485_,28.09µm
_0789_,27.98µm
_0759_,27.94µm
_2249_,27.93µm
_1660_,27.84µm
_1899_,27.81µm
_0829_,27.8µm
_1278_,27.78µm
_0426_,27.76µm
_0835_,27.72µm
_0654_,27.62µm
_2421_,27.62µm
_0914_,27.6µm
_1767_,27.6µm
_1152_,27.44µm
_2316_,27.43µm
_1581_,27.4µm
_0963_,27.37µm
_0066_,27.34µm
_1936_,27.34µm
_0708_,27.32µm
_0315_,27.3µm
_0450_,27.28µm
_0849_,27.24µm
_0513_,27.22µm
_1446_,27.14µm
_0612_,27.12µm
_1805_,27.12µm
_2157_,27.12µm
_0200_,27.06µm
_2430_,27.02µm
in1[2],26.92µm
_0192_,26.91µm
_0572_,26.9µm
_1765_,26.86µm
_1242_,26.76µm
_1323_,26.68µm
_0421_,26.58µm
_1801_,26.53µm
_1815_,26.5µm
in2[15],26.5µm
_0843_,26.48µm
_1174_,26.46µm
_2243_,26.46µm
_0451_,26.4µm
_0778_,26.36µm
_1287_,26.36µm
_2263_,26.36µm
_2426_,26.36µm
_1840_,26.28µm
_0960_,26.18µm
_1579_,26.16µm
_1454_,26.14µm
_1527_,26.12µm
_0274_,26.1µm
in1_reg\[2\],26.1µm
_0053_,26.055µm
_0191_,26.04µm
_1477_,26.04µm
_0163_,26.02µm
_2429_,26.02µm
_2256_,25.98µm
_0632_,25.96µm
_2073_,25.96µm
_1955_,25.9µm
_0583_,25.74µm
_2117_,25.68µm
_0842_,25.6µm
_0059_,25.565µm
_2298_,25.55µm
_2262_,25.5µm
_2438_,25.46µm
_0392_,25.435µm
_2292_,25.41µm
_0697_,25.4µm
net309,25.4µm
_0953_,25.38µm
_1679_,25.37µm
_1778_,25.34µm
_1667_,25.32µm
_1824_,25.32µm
_0844_,25.28µm
_1190_,25.275µm
_0995_,25.2µm
_1804_,25.16µm
_1851_,25.14µm
_2342_,25.14µm
_0642_,25.12µm
_1526_,25.08µm
net291,25.08µm
_0318_,25.06µm
_0772_,24.96µm
_1487_,24.96µm
_2179_,24.96µm
_1788_,24.94µm
_1358_,24.92µm
_1678_,24.9µm
_0688_,24.88µm
_2431_,24.78µm
_0668_,24.76µm
_0306_,24.72µm
_0350_,24.7µm
_0984_,24.66µm
_1870_,24.66µm
_0770_,24.64µm
_0834_,24.64µm
_1101_,24.6µm
_2433_,24.595µm
_1984_,24.58µm
_0577_,24.555µm
_1816_,24.4µm
_0289_,24.38µm
_1754_,24.34µm
_2034_,24.315µm
_0105_,24.3µm
_1794_,24.3µm
_2176_,24.3µm
_2289_,24.3µm
_0195_,24.28µm
_0332_,24.28µm
_2085_,24.28µm
_0775_,24.26µm
_2321_,24.26µm
_0518_,24.24µm
_0093_,24.22µm
_0828_,24.22µm
_0869_,24.22µm
_1862_,24.22µm
_0111_,24.2µm
in2_reg\[4\],24.2µm
_1239_,24.18µm
_1305_,24.18µm
_0034_,24.165µm
_0499_,24.14µm
_2228_,24.14µm
net286,24.14µm
_0364_,24.06µm
_1505_,24.06µm
_0591_,24.04µm
_0645_,23.98µm
_0312_,23.96µm
_1736_,23.96µm
_0510_,23.9µm
_0683_,23.9µm
_0355_,23.86µm
_2044_,23.86µm
_1376_,23.8µm
_2001_,23.8µm
net24,23.78µm
_2022_,23.74µm
_2384_,23.72µm
_2415_,23.72µm
_0603_,23.7µm
_1493_,23.68µm
_1138_,23.66µm
_0134_,23.64µm
_0440_,23.62µm
