net,length_um
net209,9.4µm
net251,9.4µm
_0438_,9.36µm
_0911_,9.36µm
_0038_,9.3µm
_0850_,9.3µm
_0952_,9.3µm
_0270_,9.26µm
in2[34],9.21µm
_0167_,9.2µm
in1[42],9.19µm
in3[41],9.19µm
in1[13],9.18µm
in1[5],9.17µm
_0272_,9.16µm
_0583_,9.12µm
_0587_,9.12µm
_0389_,9.08µm
_0668_,9.075µm
in1[32],9.07µm
in3[3],9.07µm
in3[51],9.07µm
_0375_,9.06µm
in1[55],9.06µm
in1[56],9.06µm
in2[55],9.06µm
in2[56],9.06µm
in2[57],9.06µm
in3[44],9.06µm
in3[55],9.06µm
in3[58],9.06µm
_0369_,9.04µm
_0126_,9µm
_0357_,9µm
_0058_,8.985µm
_0283_,8.98µm
in1[48],8.97µm
in3[42],8.97µm
out[10],8.96µm
out[11],8.96µm
out[12],8.96µm
out[13],8.96µm
out[14],8.96µm
out[15],8.96µm
out[16],8.96µm
out[45],8.96µm
out[48],8.96µm
out[51],8.96µm
in2[42],8.95µm
_0505_,8.92µm
_0955_,8.9µm
in2[41],8.87µm
in2[45],8.87µm
_0568_,8.86µm
_0151_,8.84µm
in3[61],8.83µm
_0877_,8.82µm
_0588_,8.78µm
_0589_,8.78µm
_0011_,8.745µm
_0321_,8.74µm
in1[10],8.72µm
in1[11],8.72µm
in1[12],8.72µm
in3[12],8.72µm
in1[34],8.71µm
_0720_,8.7µm
_0811_,8.66µm
in3[8],8.63µm
_0513_,8.62µm
in1[41],8.61µm
in2[5],8.61µm
in3[22],8.61µm
_0628_,8.58µm
net182,8.58µm
_0599_,8.56µm
_0611_,8.56µm
in1[30],8.53µm
_0626_,8.49µm
in1[2],8.49µm
in3[37],8.49µm
_0468_,8.48µm
_0220_,8.46µm
_0377_,8.46µm
_0444_,8.44µm
_0534_,8.44µm
net178,8.44µm
net179,8.44µm
net183,8.44µm
_0093_,8.4µm
_0773_,8.4µm
in1[20],8.39µm
in3[30],8.39µm
out[23],8.39µm
_0041_,8.38µm
out[30],8.37µm
_0039_,8.325µm
_0490_,8.32µm
_0540_,8.28µm
in1[29],8.27µm
in1[36],8.27µm
in2[25],8.27µm
_0188_,8.24µm
_0700_,8.24µm
_0374_,8.2µm
in1[21],8.15µm
in1[40],8.15µm
in1[47],8.15µm
in2[16],8.15µm
_0230_,8.14µm
_0950_,8.14µm
in2[50],8.13µm
_0857_,8.12µm
_0174_,8.1µm
_0770_,8.1µm
in3[18],8.1µm
_0042_,8.065µm
_0297_,8.06µm
_0827_,8.06µm
_0445_,8.04µm
in3[23],8.03µm
in2[33],8.01µm
_0172_,7.98µm
_0307_,7.98µm
in2[6],7.93µm
_0262_,7.92µm
out[9],7.91µm
_0147_,7.9µm
_0271_,7.9µm
_0332_,7.9µm
_0518_,7.88µm
_0330_,7.86µm
_0869_,7.86µm
_0141_,7.84µm
_0609_,7.84µm
in1[22],7.81µm
in2[36],7.81µm
in2[62],7.81µm
_0073_,7.8µm
_0596_,7.8µm
_0630_,7.78µm
net115,7.78µm
_0032_,7.765µm
_0267_,7.74µm
_0062_,7.735µm
in1[46],7.71µm
in2[0],7.71µm
_0432_,7.7µm
_0379_,7.64µm
_0555_,7.64µm
_0310_,7.6µm
in3[26],7.59µm
out[25],7.59µm
_0180_,7.58µm
_0838_,7.58µm
out[22],7.57µm
_0507_,7.54µm
_0601_,7.52µm
_0849_,7.52µm
_0282_,7.48µm
net245,7.48µm
in2[27],7.47µm
in3[0],7.47µm
in3[36],7.47µm
_0005_,7.46µm
_0847_,7.46µm
_0503_,7.44µm
_0784_,7.44µm
_0411_,7.42µm
_0915_,7.42µm
in2[38],7.42µm
_0558_,7.4µm
in2[19],7.35µm
in2[24],7.35µm
in3[28],7.35µm
in3[34],7.35µm
in3[48],7.35µm
_0680_,7.34µm
in1[19],7.3µm
in1[27],7.3µm
in3[1],7.3µm
_0183_,7.28µm
_0758_,7.28µm
in1[38],7.25µm
in2[40],7.25µm
in3[25],7.25µm
in3[6],7.25µm
out[58],7.23µm
_0187_,7.22µm
_0333_,7.2µm
in2[61],7.15µm
out[0],7.15µm
_0235_,7.14µm
in1[60],7.13µm
in3[29],7.13µm
in3[62],7.13µm
_0526_,7.12µm
in2[20],7.11µm
in2[28],7.11µm
_0585_,7.1µm
_0966_,7.095µm
_0334_,7.08µm
_0009_,7.075µm
in3[35],7.03µm
in3[50],7.03µm
in2[48],7.01µm
in3[21],7.01µm
in3[24],7.01µm
_0304_,6.985µm
_0934_,6.98µm
net52,6.98µm
net116,6.98µm
_0153_,6.92µm
out[41],6.89µm
net258,6.86µm
_0719_,6.84µm
in1[25],6.84µm
net153,6.84µm
in1[16],6.79µm
in1[23],6.79µm
in2[37],6.79µm
in3[2],6.79µm
